text,label
"Ты просто ничтожество, которое никогда ничего не добьётся.",insult
"Твоя жизнь такая же бесполезная, как и ты сам.",insult
Как ты вообще можешь с таким лицом выходить на улицу?,insult
"Твои друзья такие же тупые, как и ты. Неудивительно, что у тебя нет нормальных людей вокруг.",insult
"Ты выглядишь так, будто тебя три дня подряд били.",insult
"Ты такой жалкий, что даже твоя собака тебя ненавидит.",insult
Почему бы тебе не сдаться и не оставить это дело более способным людям?,insult
"Твой дом — это настоящий свинарник, а ты — свинья.",insult
"Твоя машина такая же убогая, как и твоя жизнь.",insult
"С такими идеями ты скоро окажешься на улице, потому что никому они не нужны.",insult
Как можно быть настолько тупым? Это просто недопустимо.,insult
"Всё, что ты делаешь, превращается в полное дерьмо.",insult
Ты и твоя семья просто позор для общества.,insult
"Всё, что у тебя есть, — это мусор, так же как и ты сам.",insult
Ты выглядишь как потерянный и никому не нужный человек.,insult
"Твои дети вырастут такими же бездарными, как и ты.",insult
"Your life is a complete waste, just like everything you touch.",insult
"Ты носишь такую дешёвую одежду, что даже нищие отказываются от неё.",insult
"Твоя жена, как и ты, неудачница, и ваше будущее обречено.",insult
"Твои навыки управления проектами ужасны, и ты только мешаешь команде.",insult
"Твои отчёты выглядят как работа новичка, и никто не хочет их читать.",insult
Как можно быть таким неэффективным в своей работе? Это просто катастрофа.,insult
Ты всегда опаздываешь с задачами и не оправдываешь ожиданий.,insult
Твои предложения по улучшению бизнеса только усугубляют ситуацию.,insult
"Никто не понимает, как ты до сих пор работаешь здесь с такими результатами.",insult
"Твои технические навыки на уровне школьника, и это видно в твоей работе.",insult
"Ты постоянно допускаешь одни и те же ошибки, и это раздражает всех.",insult
Твои идеи скучны и не имеют никакой ценности для компании.,insult
Как можно быть таким несообразительным в команде? Это просто невыносимо.,insult
Ты не справляешься с простыми задачами и мешаешь другим выполнять свою работу.,insult
Твой подход к проектам примитивен и не соответствует стандартам отрасли.,insult
"Твои презентации настолько скучны, что даже коллеги засыпают.",insult
"Твои знания в области рынка настолько поверхностны, что это вызывает смех.",insult
